Influenciador,fator
Mês: 1:  Urea,spot
"Mês: 2 - Local: PE: Insecticidas, rodenticidas, fungicidas, herbicidas, ...",acumulado ano
"Mês: 3 - Local: MA: Insecticidas, rodenticidas, fungicidas, herbicidas, ...",relação de troca
Mês: 4 - Local: PE: Açúcares de cana ou de beterraba ,acumulado bimestre
Mês: 5 - Local: MA: Adubos  fosfatados,acumulado bimestre
Mês: 6 - Local: MS: Adubos  potássicos,acumulado bimestre
Mês: 11 - Local: PA,chuvas
Mês: 6 - Local: CE,chuvas
"Mês: 9 - Local: MS: Insecticidas, rodenticidas, fungicidas, herbicidas, ...",relação de troca
Mês: 10 - Local: PA: Adubos  potássicos,acumulado ano
Mês: 11 - Local: MT,chuvas
Evolução no tempo,ANO
